DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
europe_osm.mtx.el_gz          	    kern_rank_omp_def_row	  1	 50912018	108109320	 10	  1911.650	   189.968	     0.000	166661.749	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_stp_row	  1	 50912018	108109320	 10	  2123.733	   282.464	     0.000	177483.594	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_bin_row	  1	 50912018	108109320	 10	  2225.942	   281.702	     0.000	187787.258	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_cud_def_row	  1	 50912018	108109320	 10	   293.370	    31.822	     0.000	 14482.954	     0.000	    67.997
europe_osm.mtx.el_gz          	    kern_rank_cud_stp_row	  1	 50912018	108109320	 10	   320.840	    37.562	     0.000	 16061.602	     0.000	    67.609
europe_osm.mtx.el_gz          	    kern_rank_cud_wrp_row	  1	 50912018	108109320	 10	   317.145	    37.563	     0.000	 15690.734	     0.000	    67.612
europe_osm.mtx.el_gz          	    kern_rank_cud_dyn_row	  1	 50912018	108109320	 10	   346.426	    37.540	     0.000	 18619.734	     0.000	    67.614
europe_osm.mtx.el_gz          	    kern_rank_cud_lib_row	  1	 50912018	108109320	 10	  2078.687	    39.759	     0.000	190453.728	     0.000	    79.072
europe_osm.mtx.el_gz          	    kern_rank_omp_def_col	  1	 50912018	108109320	 10	  1329.230	   187.011	     0.000	109170.199	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_stp_col	  1	 50912018	108109320	 10	  1262.130	   277.611	     0.000	 92267.410	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_bin_col	  1	 50912018	108109320	 10	  1334.487	   277.421	     0.000	 99516.050	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_cud_def_col	  1	 50912018	108109320	 10	   525.368	    30.970	     0.000	 13384.330	     0.000	   311.653
europe_osm.mtx.el_gz          	    kern_rank_cud_stp_col	  1	 50912018	108109320	 10	   502.488	    37.522	     0.000	  9805.702	     0.000	   311.725
europe_osm.mtx.el_gz          	    kern_rank_cud_wrp_col	  1	 50912018	108109320	 10	   515.995	    37.454	     0.000	 11123.453	     0.000	   312.052
europe_osm.mtx.el_gz          	    kern_rank_cud_dyn_col	  1	 50912018	108109320	 10	   520.735	    37.494	     0.000	 11597.072	     0.000	   312.065
europe_osm.mtx.el_gz          	    kern_rank_cud_lib_col	  1	 50912018	108109320	 10	   539.595	    39.704	     0.000	 12102.243	     0.000	   323.569
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_def_row	  1	 21198119	 63580358	 10	  1614.461	    80.868	     0.000	150793.225	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_stp_row	  1	 21198119	 63580358	 10	  1699.424	   121.381	     0.000	154631.029	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_bin_row	  1	 21198119	 63580358	 10	  1828.190	   120.290	     0.000	167643.454	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_def_row	  1	 21198119	 63580358	 10	   390.349	     7.748	     0.000	 31710.429	     0.000	    34.129
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_stp_row	  1	 21198119	 63580358	 10	   402.741	     7.224	     0.000	 32353.635	     0.000	    34.118
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_wrp_row	  1	 21198119	 63580358	 10	   389.562	     7.231	     0.000	 31034.795	     0.000	    34.119
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_dyn_row	  1	 21198119	 63580358	 10	   392.653	     7.237	     0.000	 31345.491	     0.000	    34.117
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_lib_row	  1	 21198119	 63580358	 10	  3123.506	    17.910	     0.000	303347.258	     0.000	    34.116
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_def_col	  1	 21198119	 63580358	 10	  1572.189	    79.810	     0.000	146851.270	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_stp_col	  1	 21198119	 63580358	 10	   948.890	   119.091	     0.000	 80010.957	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_bin_col	  1	 21198119	 63580358	 10	  1036.957	   119.171	     0.000	 88818.493	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_def_col	  1	 21198119	 63580358	 10	   506.192	     7.693	     0.000	 31017.069	     0.000	   156.813
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_stp_col	  1	 21198119	 63580358	 10	   367.739	     7.191	     0.000	 16088.462	     0.000	   161.595
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_wrp_col	  1	 21198119	 63580358	 10	   362.864	     7.135	     0.000	 15824.801	     0.000	   159.437
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_dyn_col	  1	 21198119	 63580358	 10	   363.783	     7.165	     0.000	 16013.331	     0.000	   158.473
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_lib_col	  1	 21198119	 63580358	 10	   356.677	    17.867	     0.000	 14289.467	     0.000	   157.915
cit-Patents.mtx.el_gz         	    kern_rank_omp_def_row	  1	  3774768	 16518947	 10	   322.330	    13.823	     0.000	 30306.426	     0.000	     0.000
cit-Patents.mtx.el_gz         	    kern_rank_omp_stp_row	  1	  3774768	 16518947	 10	   342.055	    21.400	     0.000	 31383.518	     0.000	     0.000
cit-Patents.mtx.el_gz         	    kern_rank_omp_bin_row	  1	  3774768	 16518947	 10	   358.134	    21.386	     0.000	 32997.142	     0.000	     0.000
cit-Patents.mtx.el_gz         	    kern_rank_cud_def_row	  1	  3774768	 16518947	 10	   167.435	     0.812	     0.000	 15038.826	     0.000	     7.779
cit-Patents.mtx.el_gz         	    kern_rank_cud_stp_row	  1	  3774768	 16518947	 10	   169.474	     0.945	     0.000	 15128.206	     0.000	     7.778
cit-Patents.mtx.el_gz         	    kern_rank_cud_wrp_row	  1	  3774768	 16518947	 10	   164.485	     0.946	     0.000	 14628.315	     0.000	     7.778
cit-Patents.mtx.el_gz         	    kern_rank_cud_dyn_row	  1	  3774768	 16518947	 10	   168.352	     0.941	     0.000	 15016.461	     0.000	     7.780
cit-Patents.mtx.el_gz         	    kern_rank_cud_lib_row	  1	  3774768	 16518947	 10	  1444.063	     1.177	     0.000	142232.127	     0.000	     7.779
cit-Patents.mtx.el_gz         	    kern_rank_omp_def_col	  1	  3774768	 16518947	 10	   395.046	    14.089	     0.000	 37559.357	     0.000	     0.000
cit-Patents.mtx.el_gz         	    kern_rank_omp_stp_col	  1	  3774768	 16518947	 10	   175.104	    20.845	     0.000	 14749.015	     0.000	     0.000
cit-Patents.mtx.el_gz         	    kern_rank_omp_bin_col	  1	  3774768	 16518947	 10	   246.172	    24.827	     0.000	 21411.301	     0.000	     0.000
cit-Patents.mtx.el_gz         	    kern_rank_cud_def_col	  1	  3774768	 16518947	 10	   184.802	     0.883	     0.000	 13760.314	     0.000	    36.929
cit-Patents.mtx.el_gz         	    kern_rank_cud_stp_col	  1	  3774768	 16518947	 10	   112.191	     1.016	     0.000	  6380.186	     0.000	    36.937
cit-Patents.mtx.el_gz         	    kern_rank_cud_wrp_col	  1	  3774768	 16518947	 10	   104.640	     1.009	     0.000	  5693.656	     0.000	    36.245
cit-Patents.mtx.el_gz         	    kern_rank_cud_dyn_col	  1	  3774768	 16518947	 10	   104.977	     1.012	     0.000	  5741.666	     0.000	    36.122
